index_size,nprobe,batch_size,retrieved_docs,cpu_retrieval_time,gpu_retrieval_time,disk_to_cpu_time,cpu_to_gpu_time
10m,256,32,5,0.05379912972450256,0.005519758939743042,1.854903s,0.032568s
20m,256,32,5,0.10427497935295105,0.010811764001846313,3.703093s,0.055849s
30m,256,32,5,0.1546754946708679,0.014872293710708619,5.536147s,0.078181s
40m,256,32,5,0.20517583012580873,0.018984836339950562,7.277172s,0.100895s
50m,256,32,5,0.2554131615161896,0.02396060824394226,9.192435s,0.123854s
60m,256,32,5,0.30607041788101197,0.0288387188911438,10.814071s,0.144418s
70m,256,32,5,0.3563546295166016,0.03240196871757507,12.642981s,0.166075s
80m,256,32,5,0.40710908007621766,0.03675458908081055,13.125993s,0.190512s
90m,256,32,5,0.4571014595031738,0.04235032963752747,15.848935s,0.211282s
100m,256,32,5,0.5079107854366303,0.045975236892700194,18.031389s,0.237862s
