query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
0,600m,128,256,1,10,4.450011968612671,"[918064, 818064, 718064, 618064, 518064, 418064, 318064, 218064, 118064, 18064]"
1,600m,128,256,1,10,4.371583938598633,"[918064, 818064, 718064, 618064, 518064, 418064, 318064, 218064, 118064, 18064]"
2,600m,128,256,1,10,4.245154857635498,"[918609, 818609, 718609, 618609, 518609, 418609, 318609, 218609, 118609, 18609]"
3,600m,128,256,1,10,4.373299598693848,"[931532, 831532, 731532, 631532, 531532, 431532, 331532, 231532, 131532, 31532]"
4,600m,128,256,1,10,4.26687479019165,"[990829, 890829, 790829, 690829, 590829, 490829, 390829, 290829, 190829, 90829]"
5,600m,128,256,1,10,4.224510669708252,"[947113, 847113, 747113, 647113, 547113, 447113, 347113, 247113, 147113, 47113]"
6,600m,128,256,1,10,4.2706897258758545,"[952427, 852427, 752427, 652427, 552427, 452427, 352427, 252427, 152427, 52427]"
7,600m,128,256,1,10,4.261406660079956,"[991173, 891173, 791173, 691173, 591173, 491173, 391173, 291173, 191173, 91173]"
8,600m,128,256,1,10,4.165047645568848,"[996677, 896677, 796677, 696677, 596677, 496677, 396677, 296677, 196677, 96677]"
9,600m,128,256,1,10,4.481709241867065,"[985612, 885612, 785612, 685612, 585612, 485612, 385612, 285612, 185612, 85612]"
10,600m,128,256,1,10,4.1515586376190186,"[999680, 899680, 799680, 699680, 599680, 499680, 399680, 299680, 199680, 99680]"
11,600m,128,256,1,10,4.289531707763672,"[906999, 806999, 706999, 606999, 506999, 406999, 306999, 206999, 106999, 6999]"
12,600m,128,256,1,10,4.293033123016357,"[951483, 851483, 751483, 651483, 551483, 451483, 351483, 251483, 151483, 51483]"
13,600m,128,256,1,10,4.3006980419158936,"[952008, 852008, 752008, 652008, 552008, 452008, 352008, 252008, 152008, 52008]"
14,600m,128,256,1,10,4.147097587585449,"[905297, 805297, 705297, 605297, 505297, 405297, 305297, 205297, 105297, 5297]"
15,600m,128,256,1,10,3.9751124382019043,"[944561, 844561, 744561, 644561, 544561, 444561, 344561, 244561, 144561, 44561]"
16,600m,128,256,1,10,4.3289899826049805,"[962656, 862656, 762656, 662656, 562656, 462656, 362656, 262656, 162656, 62656]"
17,600m,128,256,1,10,4.185728549957275,"[947113, 847113, 747113, 647113, 547113, 447113, 347113, 247113, 147113, 47113]"
18,600m,128,256,1,10,4.270425796508789,"[908262, 808262, 708262, 608262, 508262, 408262, 308262, 208262, 108262, 8262]"
19,600m,128,256,1,10,4.237013339996338,"[997633, 897633, 797633, 697633, 597633, 497633, 397633, 297633, 197633, 97633]"
20,600m,128,256,1,10,4.3125691413879395,"[913301, 813301, 713301, 613301, 513301, 413301, 313301, 213301, 113301, 13301]"
21,600m,128,256,1,10,4.250756025314331,"[938125, 838125, 738125, 638125, 538125, 438125, 338125, 238125, 138125, 38125]"
22,600m,128,256,1,10,4.29089617729187,"[938125, 838125, 738125, 638125, 538125, 438125, 338125, 238125, 138125, 38125]"
23,600m,128,256,1,10,4.206844806671143,"[985505, 885505, 785505, 685505, 585505, 485505, 385505, 285505, 185505, 85505]"
24,600m,128,256,1,10,3.988051652908325,"[947113, 847113, 747113, 647113, 547113, 447113, 347113, 247113, 147113, 47113]"
25,600m,128,256,1,10,4.130701065063477,"[915890, 815890, 715890, 615890, 515890, 415890, 315890, 215890, 115890, 15890]"
26,600m,128,256,1,10,4.249540328979492,"[997648, 897648, 797648, 697648, 597648, 497648, 397648, 297648, 197648, 97648]"
27,600m,128,256,1,10,4.0800251960754395,"[900174, 800174, 700174, 600174, 500174, 400174, 300174, 200174, 100174, 174]"
28,600m,128,256,1,10,4.290486812591553,"[980546, 880546, 780546, 680546, 580546, 480546, 380546, 280546, 180546, 80546]"
29,600m,128,256,1,10,4.2241411209106445,"[938125, 838125, 738125, 638125, 538125, 438125, 338125, 238125, 138125, 38125]"
30,600m,128,256,1,10,4.3844475746154785,"[951454, 851454, 751454, 651454, 551454, 451454, 351454, 251454, 151454, 51454]"
31,600m,128,256,1,10,4.453031539916992,"[991112, 891112, 791112, 691112, 591112, 491112, 391112, 291112, 191112, 91112]"
32,600m,128,256,1,10,4.001520156860352,"[977328, 877328, 777328, 677328, 577328, 477328, 377328, 277328, 177328, 77328]"
33,600m,128,256,1,10,4.036339282989502,"[980546, 880546, 780546, 680546, 580546, 480546, 380546, 280546, 180546, 80546]"
34,600m,128,256,1,10,4.194064140319824,"[904089, 804089, 704089, 604089, 504089, 404089, 304089, 204089, 104089, 4089]"
35,600m,128,256,1,10,4.222660064697266,"[918064, 818064, 718064, 618064, 518064, 418064, 318064, 218064, 118064, 18064]"
36,600m,128,256,1,10,4.280299663543701,"[938125, 838125, 738125, 638125, 538125, 438125, 338125, 238125, 138125, 38125]"
37,600m,128,256,1,10,4.354452133178711,"[995263, 895263, 795263, 695263, 595263, 495263, 395263, 295263, 195263, 95263]"
38,600m,128,256,1,10,4.311108112335205,"[910894, 810894, 710894, 610894, 510894, 410894, 310894, 210894, 110894, 10894]"
39,600m,128,256,1,10,4.385836362838745,"[937065, 837065, 737065, 637065, 537065, 437065, 337065, 237065, 137065, 37065]"
40,600m,128,256,1,10,4.2476420402526855,"[963324, 863324, 763324, 663324, 563324, 463324, 363324, 263324, 163324, 63324]"
41,600m,128,256,1,10,4.138542413711548,"[938125, 838125, 738125, 638125, 538125, 438125, 338125, 238125, 138125, 38125]"
42,600m,128,256,1,10,4.201876640319824,"[918542, 818542, 718542, 618542, 518542, 418542, 318542, 218542, 118542, 18542]"
43,600m,128,256,1,10,4.124700307846069,"[995355, 895355, 795355, 695355, 595355, 495355, 395355, 295355, 195355, 95355]"
44,600m,128,256,1,10,4.39463210105896,"[907787, 807787, 707787, 607787, 507787, 407787, 307787, 207787, 107787, 7787]"
45,600m,128,256,1,10,4.298815965652466,"[997633, 897633, 797633, 697633, 597633, 497633, 397633, 297633, 197633, 97633]"
46,600m,128,256,1,10,4.3958330154418945,"[934126, 834126, 734126, 634126, 534126, 434126, 334126, 234126, 134126, 34126]"
47,600m,128,256,1,10,3.955812692642212,"[981024, 881024, 781024, 681024, 581024, 481024, 381024, 281024, 181024, 81024]"
48,600m,128,256,1,10,4.171538352966309,"[919746, 819746, 719746, 619746, 519746, 419746, 319746, 219746, 119746, 19746]"
49,600m,128,256,1,10,4.04823899269104,"[963324, 863324, 763324, 663324, 563324, 463324, 363324, 263324, 163324, 63324]"
50,600m,128,256,1,10,4.036110162734985,"[910654, 810654, 710654, 610654, 510654, 410654, 310654, 210654, 110654, 10654]"
51,600m,128,256,1,10,4.163170576095581,"[967138, 867138, 767138, 667138, 567138, 467138, 367138, 267138, 167138, 67138]"
52,600m,128,256,1,10,4.266116619110107,"[948113, 848113, 748113, 648113, 548113, 448113, 348113, 248113, 148113, 48113]"
