query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,3,"[200, 227]",2,0.019244469702243805,0.012557176873087883,0.2029761456651613,"[350323743, 22367475, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]"
1,3,"[32, 209]",2,0.02673330344259739,0.01401481544598937,0.3003201335668564,"[462536204, 128100141, 512290626, 544732844, 467725477, 184433825, 41433574, 597455031, 358096082, 547778514]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
2,3,"[1, 10, 146]",3,0.1064529255963862,0.018790611997246742,0.19968980364501476,"[452861684, 443497886, 79935229, 384745310, 264321046, 585599738, 195368655, 10091877, 341395951, 117817588]","[10, 146, 146, 146, 1, 146, 10, 1, 146, 146]"
3,3,"[22, 70]",2,0.020473948679864407,0.08354175090789795,0.20888481917791069,"[319976312, 473871456, 416180093, 533106488, 185862896, 534845823, 3563663, 163663864, 232092470, 545925259]","[22, 70, 70, 70, 22, 22, 22, 22, 22, 70]"
4,3,"[10, 93]",2,0.02007097052410245,0.013455645181238651,0.1989530213177204,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 11876884, 251314455]","[93, 93, 93, 93, 10, 93, 93, 93, 10, 10]"
5,3,"[39, 60]",2,0.031740558333694935,0.015463524032384157,0.3462792953941971,"[186078600, 435813526, 131792897, 167139295, 219575231, 164479746, 116006874, 256920861, 51188259, 267079146]","[60, 60, 60, 39, 60, 39, 39, 60, 60, 39]"
6,3,"[96, 125, 188]",3,0.03874074900522828,0.02215817803516984,0.3743220096609245,"[223359640, 306289225, 473056010, 163594463, 184462764, 578112746, 538022211, 98659306, 306328842, 590601256]","[125, 188, 96, 96, 96, 96, 188, 96, 188, 125]"
7,3,"[26, 215]",2,0.03613395430147648,0.016908651683479548,0.40720456605777144,"[152048176, 272006514, 245519490, 67441808, 173908716, 77111282, 278460178, 11206465, 83460600, 337248554]","[215, 215, 215, 215, 215, 215, 215, 215, 215, 215]"
8,3,"[159, 209]",2,0.02014319458976388,0.01128261024132371,0.2218796107918024,"[327654649, 459540312, 575997322, 67520733, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[209, 209, 209, 209, 209, 209, 209, 209, 209, 209]"
9,3,"[59, 67, 175]",3,0.08523599989712238,0.01536371698603034,0.15773110914354524,"[244047149, 407497946, 244049389, 372337157, 244048645, 372313030, 99048836, 406973178, 237900005, 99090315]","[67, 67, 175, 67, 67, 175, 67, 67, 175, 67]"
10,3,"[76, 194]",2,0.030749801080673933,0.015694855246692896,0.3422039719298482,"[596989224, 177718168, 361359114, 219357708, 372868532, 109100480, 45889684, 455472830, 351990776, 457845149]","[76, 76, 76, 76, 76, 76, 76, 76, 76, 76]"
11,3,"[10, 127]",2,0.03178926324471831,0.019484983291476965,0.6059800875373185,"[62737753, 372632242, 183269707, 213711125, 341207576, 118608929, 58576345, 219610142, 464574682, 213711126]","[127, 127, 127, 10, 127, 10, 127, 127, 10, 10]"
12,3,"[33, 96, 188]",3,0.13698711106553674,0.02629429427906871,0.24182891442130008,"[143285814, 398227840, 150775094, 533066813, 416989615, 478916319, 559059925, 583463400, 255704802, 337200373]","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]"
13,3,"[70, 132, 175]",3,0.08741728914901614,0.02200454706326127,0.18403333650591472,"[219464520, 264374402, 107532941, 441733403, 295166854, 441588811, 274089888, 366292217, 441712565, 225428767]","[70, 132, 132, 132, 132, 175, 175, 175, 175, 175]"
14,3,"[84, 192]",2,0.033695895690470934,0.016569098457694054,0.37710147036705166,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 504375842, 531276114, 133995960]","[192, 192, 84, 192, 192, 192, 84, 192, 84, 84]"
15,3,"[25, 107]",2,0.02381860325112939,0.01481430558487773,0.2473425422795117,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 107]"
16,3,"[168, 233]",2,0.03669923637062311,0.01721844542771578,0.42093740520067513,"[388372331, 477914499, 313295416, 94283698, 417756224, 81047150, 287698740, 413998749, 388567738, 553227721]","[168, 168, 168, 168, 168, 233, 168, 168, 168, 168]"
17,3,"[80, 225, 244]",3,0.09647835418581963,0.016271592117846012,0.1983297256131967,"[196567304, 136475651, 519952557, 596950633, 138777038, 119958834, 125572012, 271030616, 297127865, 14644685]","[244, 225, 244, 244, 244, 244, 244, 244, 244, 244]"
18,3,"[17, 93, 207]",3,0.04497460275888443,0.02064530784264207,0.3194601053061585,"[265372681, 211326331, 414008444, 433847464, 251637127, 20375487, 484727721, 484727704, 251637111, 149272454]","[17, 17, 17, 17, 17, 17, 17, 93, 17, 17]"
19,3,"[20, 82, 132]",3,0.0255183232948184,0.09087867988273501,0.16088209549585977,"[596197374, 227781415, 342147203, 543565046, 576495810, 598858826, 334192618, 511012465, 419574595, 579709650]","[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]"
20,3,[133],1,0.011553908232599497,0.006262235809117556,0.23889850196428597,"[248237919, 161684376, 495988709, 565144556, 336166371, 591258100, 367339701, 29705405, 379727880, 247799850]","[133, 133, 133, 133, 133, 133, 133, 133, 133, 133]"
