query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,6,"[1, 6, 20]",3,0.18161428906023502,0.04816421726718545,1.415528449152286,"[22367475, 350323743, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
1,6,"[5, 6]",2,0.17383338883519173,0.036623396910727024,2.0880485479719937,"[462536204, 128100141, 512290626, 467725477, 80310487, 544732844, 41433574, 597455031, 184433825, 151462240]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
2,6,"[6, 19, 20, 21]",4,0.2396768517792225,0.055006871465593576,1.2359731768374331,"[97139517, 294043795, 8432815, 184706508, 522340063, 184228786, 58511679, 284206801, 284206802, 446094918]","[19, 19, 21, 20, 21, 21, 21, 21, 19, 21]"
3,6,[14],1,0.07651644013822079,0.018079505302011967,1.9056692339945585,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 493543761, 3563663, 545925259]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
4,6,[19],1,0.03828084375709295,0.0150503721088171,0.9089985613245517,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 197750504, 555283757, 11876884, 251314455]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
5,6,"[6, 15, 21, 23]",4,0.34750722581520677,0.1421160949394107,2.577713949722238,"[516745818, 379513049, 147282989, 98187521, 500339455, 178768696, 379513041, 186078600, 574719018, 436032610]","[6, 6, 6, 6, 15, 6, 6, 6, 6, 6]"
6,6,"[8, 17]",2,0.11599706439301372,0.030839242041110992,1.3797845056978986,"[223359640, 306289225, 134921891, 473056010, 172489898, 163594463, 184462764, 578112746, 538022211, 98659306]","[17, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
7,6,"[9, 16, 17, 24]",4,0.2973002805374563,0.07039730902761221,2.0424199287081137,"[422770906, 67019337, 159171799, 412000426, 66952640, 534620895, 63753766, 152048176, 272006514, 66961688]","[17, 16, 17, 24, 16, 17, 16, 9, 9, 16]"
8,6,"[6, 23]",2,0.12414698861539364,0.029087426140904427,1.4707761858589947,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
9,6,"[4, 14]",2,0.23371688975021243,0.043643685057759285,2.810640006326139,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 406973178, 237900005, 99090315]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
