query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,3,"[2, 21, 23]",3,1.0213413020828739,0.0482437580358237,5.836763652351995,"[15710988, 15610988, 15410988, 15510988, 15110988, 15010988, 15810988, 15910988, 15210988, 15310988]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
1,3,"[10, 11, 19]",3,1.2156293781008571,0.056138525949791074,6.452341938856989,"[15748229, 15648229, 15448229, 15548229, 15148229, 15048229, 15848229, 15948229, 15248229, 15348229]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
2,3,"[4, 7, 23]",3,1.0618639350868762,0.04836031806189567,5.600644476517725,"[15107300, 15007300, 15707300, 15607300, 15507300, 15407300, 15907300, 15807300, 15307300, 15207300]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
3,3,"[7, 14, 23]",3,1.0825122030219063,0.05260912899393588,7.259846270511237,"[15513321, 15413321, 15913321, 15813321, 15113321, 15013321, 15613321, 15713321, 15213321, 15313321]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
4,3,"[9, 14, 20]",3,1.1196469080168754,0.07288684695959091,8.430151375204636,"[15795263, 15695263, 15495263, 15595263, 15195263, 15095263, 15895263, 15995263, 15295263, 15395263]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
5,3,"[14, 18, 20]",3,1.0649481298169121,0.057302037021145225,7.398481234034989,"[15565816, 15465816, 15965816, 15865816, 15165816, 15065816, 15665816, 15765816, 15265816, 15365816]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
6,3,"[1, 11, 23]",3,1.0914166630245745,0.05005404504481703,5.640567406682142,"[15564422, 15464422, 15964422, 15864422, 15164422, 15064422, 15264422, 15364422, 15764422, 15664422]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
7,3,"[16, 22, 23]",3,1.1221526800654829,0.05736514402087778,6.1834529293313,"[15237592, 15337592, 15537592, 15437592, 15637592, 15737592, 15037592, 15137592, 15837592, 15937592]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
8,3,"[8, 12, 20]",3,0.9886590269161388,0.06633955903816968,6.320803548015344,"[15621358, 15721358, 15421358, 15521358, 15321358, 15221358, 15021358, 15121358, 15821358, 15921358]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
9,3,"[4, 19, 21]",3,1.086685440968722,0.04869094491004944,5.986794548361407,"[15438283, 15538283, 15738283, 15638283, 15238283, 15338283, 15138283, 15038283, 15938283, 15838283]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
10,3,"[13, 15, 16]",3,1.0488721600268036,0.18316439201589674,6.439484371163417,"[15163004, 15063004, 15763004, 15663004, 15563004, 15463004, 15963004, 15863004, 15363004, 15263004]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
11,3,"[2, 3, 5]",3,1.0236336200032383,0.052533864974975586,4.851607427350245,"[15477521, 15577521, 15277521, 15377521, 15677521, 15777521, 15177521, 15077521, 15977521, 15877521]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
12,3,"[14, 16, 21]",3,1.062809286173433,0.07055326702538878,7.46854989118098,"[15195263, 15095263, 15795263, 15695263, 15595263, 15495263, 15995263, 15895263, 15395263, 15295263]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
13,3,"[2, 12, 23]",3,1.0552994380705059,0.12661256093997508,5.602837354682076,"[15763674, 15663674, 15463674, 15563674, 15163674, 15063674, 15863674, 15963674, 15263674, 15363674]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
14,3,"[6, 8, 23]",3,1.013822682085447,0.04880938678979874,6.254699650647429,"[15276883, 15376883, 15476883, 15576883, 15176883, 15076883, 15876883, 15976883, 15676883, 15776883]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
15,3,"[14, 15, 20]",3,1.2323770020157099,0.052508480148389935,7.749405879507928,"[15207630, 15307630, 15407630, 15507630, 15107630, 15007630, 15807630, 15907630, 15607630, 15707630]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
16,3,"[2, 13]",2,0.7001998210325837,0.048447720939293504,5.610102786566131,"[15616133, 15716133, 15416133, 15516133, 15316133, 15216133, 15016133, 15116133, 15816133, 15916133]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
17,3,"[2, 7, 24]",3,1.0738890459761024,0.052213943912647665,5.812286703013039,"[15445795, 15545795, 15845795, 15945795, 15045795, 15145795, 15645795, 15745795, 15345795, 15245795]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
18,3,"[10, 21, 23]",3,1.1799467930104584,0.05259692494291812,6.7920022968319245,"[15999916, 15899916, 15799916, 15699916, 15099916, 15199916, 15399916, 15299916, 15499916, 15599916]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
19,3,"[14, 15, 21]",3,1.0788669179892167,0.04830528108868748,7.913349841663148,"[15195263, 15095263, 15795263, 15695263, 15595263, 15495263, 15995263, 15895263, 15395263, 15295263]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
20,3,"[14, 16]",2,0.710394590976648,0.03073013201355934,7.749406215763884,"[15127403, 15027403, 15727403, 15627403, 15527403, 15427403, 15927403, 15827403, 15327403, 15227403]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
21,3,"[5, 21, 23]",3,1.0064142028568313,0.048365226946771145,6.1187247041574055,"[15778711, 15678711, 15478711, 15578711, 15178711, 15078711, 15878711, 15978711, 15278711, 15378711]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
22,3,"[3, 4, 21]",3,1.097823521005921,0.07762060291133821,5.440180622021823,"[15757735, 15657735, 15457735, 15557735, 15157735, 15057735, 15857735, 15957735, 15257735, 15357735]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
23,3,"[3, 6, 17]",3,1.0378014309098944,0.05952083598822355,5.89071053249063,"[15788388, 15688388, 15488388, 15588388, 15188388, 15088388, 15888388, 15988388, 15288388, 15388388]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
