query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,4,"[1116, 1125, 1682]",3,0.10593781061470509,0.007209346164017916,0.0537153254263103,"[350323743, 22367475, 350285757, 22359499, 22352964, 583617007, 596090569, 40490076, 596064850, 347651857]","[1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125, 1125]"
1,4,"[686, 1408, 2154]",3,0.21368026919662952,0.020178237464278936,0.11535248005141814,"[598688458, 128100141, 512290626, 41433574, 597455031, 184433825, 344703641, 547778514, 179902369, 158374065]","[2154, 2154, 686, 2154, 686, 686, 686, 1408, 2154, 686]"
2,4,"[1092, 1106, 1262, 1429]",4,0.08463393477723002,0.012533115223050117,0.07735570886870846,"[446094918, 511656171, 195368655, 372885057, 477173449, 284505773, 18403495, 304505461, 316932980, 195072534]","[1262, 1262, 1429, 1262, 1092, 1262, 1106, 1092, 1262, 1262]"
3,4,"[63, 822]",2,0.10846518306061625,0.01030833600088954,0.10663620720151812,"[319976312, 473871456, 416180093, 533106488, 534845823, 3563663, 545925259, 526647255, 23875418, 232092470]","[822, 63, 63, 63, 822, 822, 63, 822, 63, 822]"
4,4,"[10, 93, 898]",3,0.0924847237765789,0.007242594845592976,0.06717990641482174,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 555283757, 167796158]","[93, 93, 93, 93, 93, 93, 93, 93, 93, 93]"
5,4,"[1106, 2027]",2,0.06199738010764122,0.008535752072930336,0.12733438424766064,"[186078600, 131792897, 427635765, 219575231, 256920861, 116006874, 147305738, 51188259, 267079146, 245901820]","[2027, 2027, 1106, 2027, 2027, 2027, 1106, 2027, 2027, 2027]"
6,4,"[250, 1027, 1744]",3,0.025770457461476326,0.011530677787959576,0.10463948563362162,"[223359640, 306289225, 473056010, 163594463, 578112746, 184462764, 98659306, 497799089, 423217004, 50100532]","[250, 1744, 1027, 250, 1744, 250, 1027, 1027, 1027, 250]"
7,4,"[1053, 1701, 2156]",3,0.18529475945979357,0.008909034077078104,0.10067914666918416,"[152048176, 272006514, 245519490, 66502000, 173908716, 77111282, 11206465, 278460178, 83460600, 14143969]","[1701, 1701, 1701, 2156, 1701, 1701, 1701, 1701, 1701, 2156]"
8,4,"[2065, 2380]",2,0.05898494878783822,0.005465337540954351,0.06348933163098991,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]","[2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065, 2065]"
9,4,"[682, 1852]",2,0.09335211897268891,0.007114881183952093,0.09784443746320903,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 237900005, 406973178, 191955329]","[1852, 1852, 1852, 682, 1852, 682, 1852, 682, 682, 1852]"
10,4,"[267, 810, 1139, 1647]",4,0.1755206980742514,0.01267701992765069,0.0953527697129175,"[596989224, 177718168, 109100480, 457845149, 351990776, 281499148, 126564096, 14819582, 309380982, 162372511]","[810, 810, 810, 810, 810, 810, 810, 810, 810, 810]"
11,4,"[1434, 1514, 2279]",3,0.08291130093857646,0.007908998057246208,0.05731397153188785,"[316195675, 127689114, 316205222, 316205221, 326757395, 13848649, 65052125, 525658738, 308525887, 581666100]","[1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434]"
12,4,"[1027, 1744, 1772]",3,0.11641821032389998,0.013573023024946451,0.12278161384165287,"[520909276, 478916319, 568375067, 267241506, 317290124, 140255190, 434563488, 72020728, 578511037, 553700045]","[1027, 1027, 1027, 1027, 1744, 1027, 1027, 1744, 1027, 1027]"
13,4,"[63, 892, 1730]",3,0.1006729849614203,0.011653847061097622,0.06908141363722582,"[270017264, 53616989, 219464520, 107532941, 439849310, 53616990, 441733403, 295166854, 116423613, 269584080]","[892, 892, 892, 892, 892, 892, 892, 892, 892, 892]"
14,4,"[192, 1848, 2258]",3,0.10177097423002124,0.00764390779659152,0.07360795287725826,"[2930195, 304291211, 298156409, 300724316, 214405047, 504375842, 133995960, 400338884, 195275723, 287193418]","[2258, 192, 192, 192, 2258, 2258, 2258, 1848, 2258, 2258]"
15,4,"[1026, 1529, 1895]",3,0.10740405740216374,0.008780745789408684,0.08568648396370311,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]","[1895, 1895, 1895, 1895, 1895, 1895, 1895, 1895, 1895, 1529]"
16,4,"[196, 564, 1078, 1489]",4,0.20534480409696698,0.014788069762289524,0.10988545435247943,"[388372331, 477914499, 94283698, 313295416, 417756224, 287698740, 413998749, 388567738, 553227721, 532300664]","[1078, 1489, 1489, 564, 564, 564, 196, 1078, 196, 564]"
17,4,"[741, 1097, 1139, 1885]",4,0.09914651419967413,0.00813229475170374,0.05663385917432606,"[196567304, 37592602, 138777038, 119958834, 125572012, 596950633, 551787285, 271030616, 14644685, 20438277]","[1097, 741, 1097, 1097, 1097, 1097, 1097, 1097, 1097, 1097]"
18,4,"[93, 1129, 1287, 2385]",4,0.05564838880673051,0.005760666914284229,0.03775889042299241,"[265372681, 211326331, 414008444, 433847464, 251637127, 20375487, 484727721, 484727704, 251637111, 149272454]","[1287, 1287, 1287, 1287, 1287, 1287, 1287, 93, 1287, 1287]"
19,4,"[564, 746, 892, 1226]",4,0.19048086507245898,0.012604443356394768,0.09328042803099379,"[543565046, 592306339, 92241720, 544277476, 424085470, 318359479, 396602082, 589749644, 253122202, 365571420]","[564, 564, 564, 564, 564, 564, 746, 564, 746, 564]"
20,4,"[1284, 1326, 1610]",3,0.14637259161099792,0.010080941952764988,0.1005176103208214,"[248237919, 161684376, 495988709, 565144556, 56535161, 591258100, 367339701, 29705405, 379727880, 247799850]","[1284, 1284, 1284, 1284, 1326, 1284, 1284, 1284, 1610, 1284]"
21,4,"[1532, 2027]",2,0.1349229388870299,0.005394842475652695,0.08674938452895731,"[151614128, 475316064, 432094449, 418459871, 515335694, 35737299, 450179220, 526851804, 465674683, 60128658]","[1532, 1532, 1532, 1532, 1532, 1532, 1532, 1532, 1532, 1532]"
22,4,[1602],1,0.05381359672173858,0.003069614991545677,0.1354508465155959,"[379643780, 554217595, 296777012, 132324921, 212577525, 402167117, 327957272, 479960759, 189421384, 244250010]","[1602, 1602, 1602, 1602, 1602, 1602, 1602, 1602, 1602, 1602]"
23,4,[2256],1,0.039254712872207165,0.003036973997950554,0.10371157666668296,"[393766925, 19968356, 99327655, 352440645, 554747697, 304593819, 438096438, 583417332, 116967304, 526692998]","[2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256]"
24,4,"[734, 1262, 1982, 2090]",4,0.20194312604144216,0.013702432624995708,0.11743487813510001,"[438347522, 166583047, 319869863, 506900661, 4309318, 566145788, 4500917, 220161888, 376337255, 225045634]","[2090, 1982, 2090, 2090, 2090, 2090, 2090, 2090, 2090, 2090]"
25,4,"[1186, 2154]",2,0.08941117208451033,0.006360094528645277,0.09827707952354103,"[275996305, 574080995, 39550384, 575850420, 422125669, 268603873, 39822135, 476136084, 558467782, 584246126]","[1186, 1186, 1186, 1186, 1186, 1186, 1186, 1186, 2154, 1186]"
26,4,"[781, 897, 1812, 2325]",4,0.08468308858573437,0.009382156189531088,0.04221725108800456,"[53821041, 171602438, 40935707, 439693144, 573132214, 488792456, 177400626, 379154314, 439748953, 473869587]","[781, 781, 781, 781, 781, 781, 1812, 781, 1812, 781]"
27,4,"[484, 834, 1912, 2175]",4,0.2373210210353136,0.012300985865294933,0.0922514830599539,"[342833232, 239066460, 364949379, 464209192, 173230971, 452350578, 406818359, 192881082, 397827802, 593894113]","[1912, 834, 484, 834, 1912, 1912, 2175, 484, 484, 834]"
28,4,"[1354, 1682, 2212]",3,0.04943223297595978,0.009740141220390797,0.08641186325500409,"[61133533, 194090070, 245111306, 61091245, 409247894, 61259366, 94940697, 3631411, 61091244, 61122381]","[2212, 1682, 1354, 2212, 1354, 2212, 2212, 1354, 2212, 2212]"
29,4,"[892, 1025, 1618, 1692]",4,0.1316082663834095,0.010524466168135405,0.06965685245813802,"[281743200, 353873690, 578535239, 92024936, 255704012, 336599984, 77087734, 439202093, 77087735, 434822292]","[1692, 1692, 1692, 1692, 1692, 1692, 1692, 1692, 1692, 1692]"
30,4,"[252, 672, 1178, 1186]",4,0.12764869583770633,0.009613868314772844,0.06318281794665381,"[201111705, 110621841, 107411727, 181466808, 94695580, 44316711, 393811017, 192026516, 346362717, 234006952]","[1186, 1186, 1186, 672, 1186, 1186, 672, 1186, 1186, 1186]"
31,4,"[628, 664, 1281, 2155]",4,0.24178017769008875,0.014229346998035908,0.10110275296028703,"[115921841, 406174997, 428344569, 358201558, 506245392, 34196162, 377451832, 547773195, 244828526, 464462210]","[628, 664, 1281, 628, 628, 664, 628, 628, 628, 2155]"
32,4,"[1744, 2425]",2,0.038198452442884445,0.00744832307100296,0.1257260887650773,"[94973826, 598687402, 266557487, 49713139, 138602395, 19028369, 483610425, 20412900, 464034997, 23148493]","[1744, 2425, 1744, 1744, 1744, 1744, 1744, 1744, 1744, 1744]"
33,4,"[20, 164, 1783, 2140]",4,0.1371331587433815,0.01076881866902113,0.07564456929685548,"[226643905, 226643912, 559487576, 37286001, 78302557, 300324652, 45224550, 394820965, 260683464, 207970921]","[2140, 2140, 2140, 2140, 2140, 2140, 1783, 164, 2140, 20]"
34,4,"[1481, 2430]",2,0.013684256933629513,0.005545306485146284,0.1286945507163182,"[338458298, 336062552, 45896088, 522761063, 94114406, 99665505, 52805236, 29424329, 264709025, 99561348]","[2430, 2430, 1481, 1481, 1481, 1481, 2430, 2430, 1481, 1481]"
35,4,"[262, 993, 1017, 1123]",4,0.07611728645861149,0.013627808075398207,0.0879278228385374,"[573745672, 207301730, 9584071, 494247791, 353504176, 476210741, 228872165, 189845178, 474850859, 581468447]","[993, 262, 993, 993, 993, 993, 993, 993, 1017, 993]"
36,4,"[112, 164, 846, 1157]",4,0.1928532924503088,0.030769007746130228,0.20654239493887872,"[446742083, 518493596, 276383189, 374884930, 228745814, 183754651, 339460819, 521760549, 73152965, 239342225]","[846, 846, 846, 846, 1157, 846, 846, 846, 1157, 1157]"
37,4,"[672, 1169, 1186, 2430]",4,0.12740501575171947,0.012230330146849155,0.12230708071729168,"[403016532, 320010234, 239518483, 510970601, 434260091, 322235737, 82778227, 346409730, 207473923, 239979025]","[2430, 1186, 2430, 1186, 2430, 2430, 1169, 2430, 1169, 1186]"
