query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,3,"[14, 18, 22]",3,2.1161500914022326,0.051365832798182964,39.475238162558526,"[15529685, 15429685, 15929685, 15829685, 15129685, 15029685, 15229685, 15329685, 15729685, 15629685]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
1,3,"[3, 14, 18]",3,2.1779689099639654,0.05188261903822422,36.55884062281499,"[15756273, 15656273, 15556273, 15456273, 15056273, 15156273, 15256273, 15356273, 15856273, 15956273]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2,3,"[1, 7, 18]",3,2.0534388860687613,0.04565117694437504,32.61821437937518,"[15248493, 15348493, 15448493, 15548493, 15148493, 15048493, 15848493, 15948493, 15648493, 15748493]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
3,3,"[1, 12, 18]",3,2.1306062396615744,0.048663243651390076,35.06979473493993,"[15564484, 15464484, 15964484, 15864484, 15164484, 15064484, 15264484, 15364484, 15764484, 15664484]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
4,3,"[1, 18, 20]",3,2.1618567779660225,0.0511622279882431,35.88192702503875,"[15531061, 15431061, 15931061, 15831061, 15131061, 15031061, 15231061, 15331061, 15731061, 15631061]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
5,3,"[2, 3, 18]",3,2.2200382445007563,0.05156060867011547,35.74818341014907,"[15295114, 15395114, 15495114, 15595114, 15195114, 15095114, 15895114, 15995114, 15695114, 15795114]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
6,3,"[1, 22]",2,1.4615767607465386,0.03462010622024536,39.45915064122528,"[15180370, 15080370, 15280370, 15380370, 15580370, 15480370, 15980370, 15880370, 15780370, 15680370]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,3,"[6, 18, 22]",3,2.1496106581762433,0.05144416727125645,38.24166171128551,"[15402778, 15502778, 15902778, 15802778, 15302778, 15202778, 15702778, 15602778, 15102778, 15002778]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
8,3,"[12, 14, 18]",3,2.072947303764522,0.05223295744508505,35.985992829160146,"[18837824, 18937824, 18737824, 18637824, 19037824, 19137824, 18337824, 18237824, 18537824, 18437824]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
9,3,"[11, 13, 24]",3,2.2791291810572147,0.04899191576987505,37.56002390757203,"[15048270, 15148270, 15448270, 15548270, 15948270, 15848270, 15748270, 15648270, 15248270, 15348270]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
10,3,"[4, 11, 18]",3,2.132209450006485,0.04829065687954426,34.44766922124351,"[15516761, 15416761, 15916761, 15816761, 15116761, 15016761, 15216761, 15316761, 15716761, 15616761]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
11,3,"[18, 20, 23]",3,2.1012370167300105,0.050534154288470745,37.23265537697201,"[15522098, 15422098, 15922098, 15822098, 15122098, 15022098, 15222098, 15322098, 15722098, 15622098]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
12,3,"[18, 19, 22]",3,2.2183851962909102,0.047707635909318924,41.41706617362797,"[15727618, 15627618, 15427618, 15527618, 15127618, 15027618, 15827618, 15927618, 15227618, 15327618]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
