query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,2,"[11, 14]",2,0.7190668741241097,0.05193737521767616,12.309152046451345,"[15458292, 15558292, 15258292, 15358292, 15658292, 15758292, 15158292, 15058292, 15958292, 15858292]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
1,2,"[11, 17]",2,0.7647905265912414,0.052908667363226414,13.726818173658103,"[15116724, 15016724, 15716724, 15616724, 15516724, 15416724, 15916724, 15816724, 15316724, 15216724]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
2,2,"[11, 24]",2,0.7494342373684049,0.05281885340809822,12.792321327375248,"[15721486, 15621486, 15421486, 15521486, 15121486, 15021486, 15821486, 15921486, 15221486, 15321486]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
3,2,"[11, 31]",2,0.7356970869004726,0.05280273128300905,12.007059053052217,"[15197121, 15097121, 15597121, 15497121, 15397121, 15297121, 15897121, 15997121, 15797121, 15697121]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]"
4,2,"[9, 11]",2,0.724093277938664,0.04802113492041826,12.081634200876579,"[15233244, 15333244, 15433244, 15533244, 15133244, 15033244, 15833244, 15933244, 15633244, 15733244]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
5,2,"[7, 11]",2,0.776091692969203,0.05355292372405529,13.060225556138903,"[15721403, 15621403, 15421403, 15521403, 15121403, 15021403, 15821403, 15921403, 15221403, 15321403]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
6,2,"[22, 43]",2,0.8237403789535165,0.0582235362380743,17.09707238036208,"[15672009, 15772009, 15472009, 15572009, 15372009, 15272009, 15072009, 15172009, 15872009, 15972009]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
7,2,"[5, 11]",2,0.8037497205659747,0.053823892027139664,13.663878235034645,"[15054413, 15154413, 15454413, 15554413, 15954413, 15854413, 15754413, 15654413, 15254413, 15354413]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
8,2,"[0, 8]",2,0.7444955110549927,0.0526023218408227,12.519113301998004,"[15758104, 15658104, 15558104, 15458104, 15058104, 15158104, 15258104, 15358104, 15858104, 15958104]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,2,"[9, 39]",2,0.7361862305551767,0.051752631552517414,14.547360904281959,"[15743344, 15643344, 15443344, 15543344, 15143344, 15043344, 15843344, 15943344, 15243344, 15343344]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39]"
10,2,"[11, 28]",2,0.8095462564378977,0.05698502995073795,14.075934367952868,"[15291904, 15391904, 15491904, 15591904, 15691904, 15791904, 15091904, 15191904, 15891904, 15991904]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
11,2,"[15, 28]",2,0.8321450110524893,0.058474996127188206,15.782383892452344,"[15256283, 15356283, 15456283, 15556283, 15656283, 15756283, 15056283, 15156283, 15856283, 15956283]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
12,2,"[7, 44]",2,0.8054410917684436,0.05443833116441965,15.895060238894075,"[15182286, 15082286, 15582286, 15482286, 15382286, 15282286, 15882286, 15982286, 15782286, 15682286]","[44, 44, 44, 44, 44, 44, 44, 44, 44, 44]"
13,2,"[31, 43]",2,0.7926325695589185,0.05448402464389801,15.747717787744477,"[15295464, 15395464, 15495464, 15595464, 15695464, 15795464, 15095464, 15195464, 15895464, 15995464]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]"
14,2,"[7, 11]",2,0.77879898250103,0.053249734453856945,13.060225556138903,"[15786736, 15686736, 15586736, 15486736, 15086736, 15186736, 15286736, 15386736, 15886736, 15986736]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
15,2,"[16, 47]",2,0.7349031195044518,0.055380990728735924,16.914360141847283,"[15277616, 15377616, 15477616, 15577616, 15177616, 15077616, 15877616, 15977616, 15677616, 15777616]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47]"
16,2,"[1, 28]",2,0.8666316820308566,0.05923383589833975,15.106373623246327,"[15762464, 15662464, 15462464, 15562464, 15162464, 15062464, 15862464, 15962464, 15262464, 15362464]","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
17,2,"[17, 39]",2,0.7791978269815445,0.05727712996304035,16.192544877063483,"[15679356, 15779356, 15479356, 15579356, 15379356, 15279356, 15079356, 15179356, 15879356, 15979356]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
18,2,"[11, 31]",2,0.7331396602094173,0.053020565770566463,12.007059053052217,"[15133244, 15033244, 15233244, 15333244, 15533244, 15433244, 15933244, 15833244, 15733244, 15633244]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
19,2,[46],1,0.3964734189212322,0.029504183679819107,19.729022518731654,"[15657756, 15757756, 15457756, 15557756, 15357756, 15257756, 15057756, 15157756, 15857756, 15957756]","[46, 46, 46, 46, 46, 46, 46, 46, 46, 46]"
20,2,"[14, 43]",2,0.7741900905966759,0.056704942137002945,16.049810781143606,"[15155819, 15055819, 15755819, 15655819, 15555819, 15455819, 15955819, 15855819, 15355819, 15255819]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
21,2,"[4, 11]",2,0.7278303764760494,0.052146848291158676,12.385498554678634,"[15228817, 15328817, 15428817, 15528817, 15128817, 15028817, 15828817, 15928817, 15628817, 15728817]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
22,2,"[11, 46]",2,0.7551354272291064,0.04903708957135677,15.942255194531754,"[15616724, 15716724, 15416724, 15516724, 15316724, 15216724, 15016724, 15116724, 15816724, 15916724]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
23,2,"[31, 46]",2,0.783498159609735,0.05376665014773607,15.793826377252117,"[15794542, 15694542, 15594542, 15494542, 15094542, 15194542, 15294542, 15394542, 15894542, 15994542]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]"
24,2,"[43, 46]",2,0.8100214106962085,0.055009777657687664,19.682913929224014,"[15597551, 15497551, 15397551, 15297551, 15197551, 15097551, 15697551, 15797551, 15897551, 15997551]","[43, 43, 43, 43, 43, 43, 43, 43, 43, 43]"
