query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
0,300m,72,256,1,5,2.221120672941208,"[22367475, 22359499, 22352964, 40490076, 1072188]"
1,300m,72,256,1,5,2.221120672941208,"[96761309, 128100141, 80310487, 41433574, 184433825]"
2,300m,72,256,1,5,2.221120672941208,"[97139517, 294043795, 8432815, 184706508, 279847544]"
3,300m,72,256,1,5,2.221120672941208,"[185862896, 3563663, 163663864, 232092470, 23875418]"
4,300m,72,256,1,5,2.221120672941208,"[241046875, 74580447, 196412165, 197645372, 197750504]"
5,300m,72,256,1,5,2.221120672941208,"[40647836, 98341154, 147282989, 98187521, 98187524]"
6,300m,72,256,1,5,2.221120672941208,"[223359640, 134921891, 163594463, 184462764, 98659306]"
7,300m,72,256,1,5,2.221120672941208,"[67019337, 159171799, 66952640, 152048176, 66961688]"
8,300m,72,256,1,5,2.221120672941208,"[67520733, 180283059, 41178123, 30515188, 283109653]"
9,300m,72,256,1,5,2.221120672941208,"[244047149, 244049389, 244048645, 99048836, 237900005]"
10,300m,72,256,1,5,2.221120672941208,"[162571401, 156350339, 177718168, 156842470, 162631938]"
11,300m,72,256,1,5,2.221120672941208,"[127689114, 65052125, 13848649, 129244824, 62737753]"
12,300m,72,256,1,5,2.221120672941208,"[143285814, 150775094, 255704802, 267241506, 8192310]"
13,300m,72,256,1,5,2.221120672941208,"[270017264, 53616989, 219464520, 107532941, 53616990]"
14,300m,72,256,1,5,2.221120672941208,"[2930195, 5479281, 298156409, 214405047, 231200670]"
15,300m,72,256,1,5,2.221120672941208,"[236059986, 266678352, 110942075, 187020015, 159959935]"
16,300m,72,256,1,5,2.221120672941208,"[94283698, 287698740, 81047150, 84783145, 211218407]"
17,300m,72,256,1,5,2.221120672941208,"[196567304, 37592602, 119007154, 136475651, 138777038]"
18,300m,72,256,1,5,2.221120672941208,"[265372681, 278479542, 251637110, 211326331, 34614699]"
19,300m,72,256,1,5,2.221120672941208,"[227781415, 9720048, 84150934, 267096986, 88046114]"
20,300m,72,256,1,5,2.221120672941208,"[248237919, 53457392, 161684376, 56535161, 29705405]"
21,300m,72,256,1,5,2.221120672941208,"[151614128, 35737299, 145206405, 60128658, 155391946]"
22,300m,72,256,1,5,2.221120672941208,"[296777012, 132324921, 212577525, 189421384, 244250010]"
23,300m,72,256,1,5,2.221120672941208,"[19968356, 99327655, 116967304, 198625900, 51108503]"
24,300m,72,256,1,5,2.221120672941208,"[37716934, 191429128, 166583047, 131316433, 139290262]"
25,300m,72,256,1,5,2.221120672941208,"[275996305, 39550384, 268603873, 39822135, 65428933]"
26,300m,72,256,1,5,2.221120672941208,"[9260592, 255137588, 171602438, 53821041, 128351388]"
27,300m,72,256,1,5,2.221120672941208,"[239066460, 168468834, 76823179, 173230971, 258134754]"
28,300m,72,256,1,5,2.221120672941208,"[195995390, 194090070, 61133533, 245111306, 274739120]"
29,300m,72,256,1,5,2.221120672941208,"[281743200, 92024936, 255704012, 77087734, 77087735]"
30,300m,72,256,1,5,2.221120672941208,"[201111705, 112700980, 237860493, 237959841, 81345349]"
31,300m,72,256,1,5,2.221120672941208,"[154718683, 79169640, 263282819, 115921841, 212904042]"
