query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
0,300m,72,256,32,5,2.938233925819397
32,300m,72,256,32,5,2.938233925819397
64,300m,72,256,32,5,2.938233925819397
96,300m,72,256,32,5,2.938233925819397
128,300m,72,256,32,5,2.938233925819397
160,300m,72,256,32,5,2.938233925819397
192,300m,72,256,32,5,2.938233925819397
224,300m,72,256,32,5,2.938233925819397
256,300m,72,256,32,5,2.938233925819397
288,300m,72,256,32,5,2.938233925819397
320,300m,72,256,32,5,2.938233925819397
352,300m,72,256,32,5,2.938233925819397
384,300m,72,256,32,5,2.938233925819397
416,300m,72,256,32,5,2.938233925819397
448,300m,72,256,32,5,2.938233925819397
480,300m,72,256,32,5,2.938233925819397
512,300m,72,256,32,5,2.938233925819397
544,300m,72,256,32,5,2.938233925819397
576,300m,72,256,32,5,2.938233925819397
608,300m,72,256,32,5,2.938233925819397
640,300m,72,256,32,5,2.938233925819397
672,300m,72,256,32,5,2.938233925819397
704,300m,72,256,32,5,2.938233925819397
736,300m,72,256,32,5,2.938233925819397
768,300m,72,256,32,5,2.938233925819397
800,300m,72,256,32,5,2.938233925819397
832,300m,72,256,32,5,2.938233925819397
864,300m,72,256,32,5,2.938233925819397
896,300m,72,256,32,5,2.938233925819397
928,300m,72,256,32,5,2.938233925819397
960,300m,72,256,32,5,2.938233925819397
992,300m,72,256,32,5,2.938233925819397
1024,300m,72,256,32,5,2.938233925819397
1056,300m,72,256,32,5,2.938233925819397
1088,300m,72,256,32,5,2.938233925819397
1120,300m,72,256,32,5,2.938233925819397
1152,300m,72,256,32,5,2.938233925819397
1184,300m,72,256,32,5,2.938233925819397
1216,300m,72,256,32,5,2.938233925819397
1248,300m,72,256,32,5,2.938233925819397
1280,300m,72,256,32,5,2.938233925819397
1312,300m,72,256,32,5,2.938233925819397
1344,300m,72,256,32,5,2.938233925819397
1376,300m,72,256,32,5,2.938233925819397
1408,300m,72,256,32,5,2.938233925819397
1440,300m,72,256,32,5,2.938233925819397
1472,300m,72,256,32,5,2.938233925819397
1504,300m,72,256,32,5,2.938233925819397
1536,300m,72,256,32,5,2.938233925819397
1568,300m,72,256,32,5,2.938233925819397
1600,300m,72,256,32,5,2.938233925819397
1632,300m,72,256,32,5,2.938233925819397
1664,300m,72,256,32,5,2.938233925819397
1696,300m,72,256,32,5,2.938233925819397
1728,300m,72,256,32,5,2.938233925819397
1760,300m,72,256,32,5,2.938233925819397
1792,300m,72,256,32,5,2.938233925819397
1824,300m,72,256,32,5,2.938233925819397
1856,300m,72,256,32,5,2.938233925819397
1888,300m,72,256,32,5,2.938233925819397
1920,300m,72,256,32,5,2.938233925819397
1952,300m,72,256,32,5,2.938233925819397
1984,300m,72,256,32,5,2.938233925819397
2016,300m,72,256,32,5,2.938233925819397
2048,300m,72,256,32,5,2.938233925819397
2080,300m,72,256,32,5,2.938233925819397
2112,300m,72,256,32,5,2.938233925819397
2144,300m,72,256,32,5,2.938233925819397
2176,300m,72,256,32,5,2.938233925819397
2208,300m,72,256,32,5,2.938233925819397
2240,300m,72,256,32,5,2.938233925819397
2272,300m,72,256,32,5,2.938233925819397
2304,300m,72,256,32,5,2.938233925819397
2336,300m,72,256,32,5,2.938233925819397
2368,300m,72,256,32,5,2.938233925819397
2400,300m,72,256,32,5,2.938233925819397
2432,300m,72,256,32,5,2.938233925819397
2464,300m,72,256,32,5,2.938233925819397
2496,300m,72,256,32,5,2.938233925819397
2528,300m,72,256,32,5,2.938233925819397
2560,300m,72,256,32,5,2.938233925819397
2592,300m,72,256,32,5,2.938233925819397
2624,300m,72,256,32,5,2.938233925819397
2656,300m,72,256,32,5,2.938233925819397
2688,300m,72,256,32,5,2.938233925819397
2720,300m,72,256,32,5,2.938233925819397
2752,300m,72,256,32,5,2.938233925819397
2784,300m,72,256,32,5,2.938233925819397
2816,300m,72,256,32,5,2.938233925819397
2848,300m,72,256,32,5,2.938233925819397
2880,300m,72,256,32,5,2.938233925819397
2912,300m,72,256,32,5,2.938233925819397
2944,300m,72,256,32,5,2.938233925819397
2976,300m,72,256,32,5,2.938233925819397
3008,300m,72,256,32,5,2.938233925819397
3040,300m,72,256,32,5,2.938233925819397
3072,300m,72,256,32,5,2.938233925819397
