query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
0,600m,72,24494,1,10,188.6669328212738,"[350323743, 22367475, 350285757, 22359499, 22352964, 596090569, 583617007, 40490076, 596064850, 347651857]"
1,600m,72,24494,1,10,188.3602533340454,"[598688458, 96761309, 317778513, 462536204, 128100141, 512290626, 467725477, 80310487, 336524624, 544732844]"
2,600m,72,24494,1,10,188.07054567337036,"[97139517, 294043795, 8432815, 184706508, 279847544, 422118279, 147837451, 522340063, 184228786, 58511679]"
3,600m,72,24494,1,10,188.30477857589722,"[319976312, 473871456, 416180093, 533106488, 185862896, 409812650, 534845823, 493543761, 3563663, 163663864]"
4,600m,72,24494,1,10,189.0638608932495,"[492485126, 241046875, 74580447, 364526066, 196412165, 197645372, 345397440, 197750504, 6680367, 555283757]"
5,600m,72,24494,1,10,187.93359327316284,"[516745818, 379513051, 379513049, 40647836, 98341154, 147282989, 98187521, 98187524, 268589670, 500339455]"
6,600m,72,24494,1,10,188.0460820198059,"[223359640, 306289225, 134921891, 571246815, 172489898, 473056010, 163594463, 578112746, 184462764, 538022211]"
7,600m,72,24494,1,10,188.06344389915466,"[422770906, 67019337, 159171799, 412000426, 66952640, 534620895, 63753766, 152048176, 311568376, 368354619]"
8,600m,72,24494,1,10,187.8898115158081,"[327654649, 459540312, 67520733, 575997322, 180283059, 562193291, 305388418, 41178123, 30515188, 339438330]"
9,600m,72,24494,1,10,188.09337973594666,"[244047149, 407497946, 372337157, 244049389, 244048645, 372313030, 99048836, 237900005, 406973178, 99090315]"
10,600m,72,24494,1,10,188.0125172138214,"[162571401, 582265968, 156350339, 596989224, 177718168, 156842470, 162631938, 162631950, 301410691, 361359114]"
11,600m,72,24494,1,10,187.43142986297607,"[316195675, 347961149, 246469994, 425646496, 127689114, 316205222, 402475987, 505372613, 335612984, 316205221]"
12,600m,72,24494,1,10,188.2788805961609,"[143285814, 398227840, 150775094, 520909276, 533066813, 416989615, 478916319, 559059925, 583463400, 428931568]"
13,600m,72,24494,1,10,188.2843496799469,"[42569015, 269953808, 270017264, 53616989, 564997998, 219464520, 269932498, 269972553, 264374402, 553483903]"
14,600m,72,24494,1,10,187.2614769935608,"[2930195, 304291211, 5479281, 298156409, 435890273, 300724316, 214405047, 231200670, 504375842, 531276114]"
15,600m,72,24494,1,10,187.49797129631042,"[540834996, 425755668, 346415404, 400155932, 347682406, 548796299, 583527657, 236059986, 540791896, 318230608]"
16,600m,72,24494,1,10,187.75945043563843,"[388372331, 477914499, 94283698, 313295416, 417756224, 287698740, 81047150, 413998749, 388567738, 84783145]"
17,600m,72,24494,1,10,188.04002594947815,"[196567304, 37592602, 119007154, 529191060, 136475651, 138777038, 519952557, 596950633, 125572012, 119958834]"
18,600m,72,24494,1,10,188.8962013721466,"[265372681, 560067270, 278479542, 395074565, 251637110, 211326331, 34614699, 174444878, 587245452, 34620824]"
19,600m,72,24494,1,10,187.82569432258606,"[596197374, 227781415, 342147203, 223745933, 36042600, 441232341, 9720048, 281954983, 543565046, 576495810]"
20,600m,72,24494,1,10,188.0610044002533,"[248237919, 53457392, 161684376, 495988709, 529213090, 340338888, 565144556, 56535161, 369015536, 336166371]"
21,600m,72,24494,1,10,187.99827122688293,"[386500007, 151614128, 553675511, 342086583, 475316064, 432094449, 397264316, 418459871, 515335694, 400925125]"
22,600m,72,24494,1,10,187.75358247756958,"[379643780, 555532837, 554217595, 296777012, 132324921, 572223798, 212577525, 402167117, 548783312, 2230657]"
23,600m,72,24494,1,10,187.4753818511963,"[393766925, 19968356, 99327655, 596615355, 352440645, 554747697, 304593819, 438096438, 583417332, 526692998]"
24,600m,72,24494,1,10,187.06850910186768,"[438347522, 524160961, 474967492, 37716934, 191429128, 166583047, 131316433, 392904598, 139290262, 555671028]"
25,600m,72,24494,1,10,187.27644872665405,"[275996305, 574080995, 39550384, 575850420, 422125669, 194468745, 345012085, 268603873, 39822135, 476136084]"
26,600m,72,24494,1,10,187.48401403427124,"[9260592, 255137588, 171602438, 53821041, 128351388, 418888803, 40935707, 439693144, 350535457, 75050458]"
27,600m,72,24494,1,10,187.33820366859436,"[342833232, 239066460, 168468834, 364949379, 76823179, 464209192, 173230971, 452350578, 539475952, 406818359]"
28,600m,72,24494,1,10,187.3163983821869,"[580293607, 436703496, 195995390, 486542584, 410907401, 214907984, 194090070, 61133533, 245111306, 3363907]"
29,600m,72,24494,1,10,187.44802498817444,"[176037102, 164759875, 281743200, 220058368, 571201178, 207043861, 344036839, 544604186, 185069916, 249249826]"
30,600m,72,24494,1,10,187.20883417129517,"[201111705, 86527089, 514685550, 588877957, 112700980, 498178212, 237860493, 495877099, 237959841, 114122804]"
31,600m,72,24494,1,10,188.2205832004547,"[154718683, 79169640, 263282819, 381006524, 365713645, 365713646, 115921841, 212904042, 424881179, 247154773]"
32,600m,72,24494,1,10,188.10890650749207,"[94973826, 305101499, 598687402, 266557487, 275034196, 49713139, 390525573, 138602395, 27436766, 483823371]"
33,600m,72,24494,1,10,188.51167178153992,"[226643905, 226643912, 559487576, 37286001, 78302557, 300324652, 52810236, 45224550, 394820965, 260683464]"
34,600m,72,24494,1,10,188.2254078388214,"[338458298, 336062552, 45896088, 522761063, 572877895, 354553936, 94114406, 99665505, 430200580, 52805236]"
35,600m,72,24494,1,10,188.6527955532074,"[46371624, 572946019, 262952323, 278189217, 303017606, 573745672, 138432939, 115222581, 374653008, 392510615]"
36,600m,72,24494,1,10,188.39342045783997,"[446742083, 252971150, 375300950, 492534000, 487544577, 310471342, 291262936, 208939125, 214075551, 42401472]"
37,600m,72,24494,1,10,188.79251194000244,"[403016532, 281872547, 239518483, 320010234, 434260091, 510970601, 389554411, 322235737, 82778227, 346409730]"
