list_id,vector_count
13835,57000
13021,51000
12912,51000
5232,51000
4309,51000
8111,48000
2409,48000
1685,48000
16551,45000
13820,45000
12660,45000
12182,45000
9973,45000
7772,45000
1829,45000
894,45000
781,45000
16389,42000
14891,42000
14814,42000
13253,42000
12539,42000
11781,42000
10777,42000
10125,42000
9975,42000
8499,42000
7416,42000
7049,42000
6695,42000
6644,42000
6387,42000
5575,42000
4969,42000
4341,42000
3641,42000
2886,42000
2825,42000
2127,42000
2005,42000
1982,42000
1693,42000
1433,42000
1195,42000
224,42000
150,42000
66,42000
17167,39000
17083,39000
16905,39000
16703,39000
16544,39000
16421,39000
15666,39000
15582,39000
15217,39000
15206,39000
14733,39000
14459,39000
14336,39000
14246,39000
13759,39000
13588,39000
13565,39000
12900,39000
12444,39000
12313,39000
11996,39000
11624,39000
11334,39000
11024,39000
11006,39000
10934,39000
10928,39000
10354,39000
10103,39000
10100,39000
8946,39000
8916,39000
8852,39000
8760,39000
8191,39000
7774,39000
7738,39000
7016,39000
6593,39000
5892,39000
5580,39000
5530,39000
5093,39000
4710,39000
4682,39000
4563,39000
4431,39000
4202,39000
4018,39000
3591,39000
3195,39000
1645,39000
1616,39000
1085,39000
919,39000
546,39000
487,39000
17292,36000
17290,36000
17270,36000
17230,36000
17226,36000
17068,36000
16722,36000
16691,36000
16631,36000
16506,36000
16504,36000
16482,36000
16416,36000
16317,36000
16286,36000
16087,36000
16046,36000
15941,36000
15816,36000
15591,36000
15491,36000
15476,36000
15405,36000
15194,36000
15122,36000
15111,36000
14640,36000
14634,36000
14537,36000
14496,36000
14352,36000
14334,36000
14207,36000
14201,36000
14197,36000
14084,36000
14020,36000
13927,36000
13891,36000
13822,36000
13817,36000
13713,36000
13292,36000
13259,36000
13171,36000
13115,36000
12983,36000
12929,36000
12783,36000
12748,36000
12680,36000
12587,36000
12497,36000
12159,36000
12151,36000
11841,36000
11808,36000
11664,36000
11588,36000
11166,36000
11013,36000
10891,36000
10877,36000
10770,36000
10640,36000
10639,36000
10579,36000
10488,36000
10469,36000
10425,36000
10391,36000
10209,36000
10069,36000
9847,36000
9794,36000
9762,36000
9699,36000
9696,36000
9658,36000
9496,36000
9408,36000
9272,36000
9261,36000
9156,36000
9097,36000
9086,36000
8724,36000
8710,36000
8609,36000
8403,36000
8328,36000
8227,36000
7850,36000
7787,36000
7777,36000
7712,36000
7601,36000
7534,36000
7359,36000
7342,36000
7338,36000
7280,36000
6966,36000
6770,36000
6701,36000
6616,36000
6586,36000
6551,36000
6495,36000
6256,36000
6004,36000
5717,36000
5496,36000
5473,36000
5408,36000
5398,36000
5337,36000
5198,36000
5178,36000
5158,36000
4950,36000
4888,36000
4829,36000
4657,36000
4626,36000
4624,36000
4420,36000
4352,36000
4168,36000
4077,36000
3971,36000
3952,36000
3897,36000
3889,36000
3812,36000
3794,36000
3687,36000
3621,36000
3543,36000
3363,36000
3188,36000
3177,36000
2883,36000
2777,36000
2684,36000
2559,36000
2558,36000
2414,36000
2350,36000
2341,36000
1817,36000
