query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,8,"[1, 3, 4, 6, 13, 14, 18, 22]",8,5.708150176331401,0.13517619296908379,35.79078184941318,"[15185049, 15085049, 15785049, 15685049, 15585049, 15485049, 15885049, 15985049, 15385049, 15285049]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
1,8,"[2, 3, 5, 6, 7, 14, 18, 19]",8,5.648231400176883,0.1289449892938137,34.37359913805267,"[15756273, 15656273, 15556273, 15456273, 15056273, 15156273, 15356273, 15256273, 15956273, 15856273]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2,8,"[1, 4, 5, 7, 12, 14, 18, 20]",8,5.461525423452258,0.12704460881650448,33.604679472278804,"[15054264, 15154264, 15654264, 15754264, 15854264, 15954264, 15554264, 15454264, 15354264, 15254264]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
3,8,"[1, 3, 12, 14, 18, 19, 22]",7,5.090045854449272,0.11451180465519428,37.94563810700284,"[15228294, 15328294, 15828294, 15528294, 15428294, 15928294, 15628294, 15128294, 15028294, 15728294]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
4,8,"[1, 5, 12, 18, 19, 20]",6,4.342147620394826,0.10253303684294224,36.07958129389832,"[15149957, 15049957, 15549957, 15449957, 15349957, 15249957, 15849957, 15949957, 15749957, 15649957]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
5,8,"[0, 2, 3, 18, 22]",5,3.5477299001067877,0.08013330772519112,36.75522239021957,"[15595114, 15495114, 15995114, 15895114, 15195114, 15095114, 15695114, 15795114, 15295114, 15395114]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
6,8,"[1, 3, 4, 12, 18, 22]",6,4.261963093653321,0.09447756595909595,36.52516549375529,"[15196495, 15096495, 15796495, 15696495, 15596495, 15496495, 15396495, 15296495, 15996495, 15896495]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
7,8,"[0, 3, 6, 12, 18, 21, 22]",7,4.919166354462504,0.10816170647740364,36.64146841164412,"[15202778, 15302778, 15802778, 15902778, 15502778, 15402778, 15002778, 15102778, 15702778, 15602778]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
8,8,"[8, 12, 13, 14, 18, 23]",6,4.09560071118176,0.09647166915237904,35.796431763175256,"[15721668, 15621668, 15321668, 15221668, 15521668, 15421668, 15021668, 15121668, 15821668, 15921668]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
9,8,"[4, 11, 12, 13, 16, 22, 24]",7,5.082142855972052,0.11671690456569195,37.807976519489394,"[15588582, 15488582, 15888582, 15988582, 15688582, 15788582, 15088582, 15188582, 15388582, 15288582]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
10,8,"[3, 4, 5, 8, 11, 18, 23]",7,4.920582080259919,0.10801616683602333,34.68303452086236,"[15157756, 15057756, 15357756, 15257756, 15857756, 15957756, 15457756, 15557756, 15657756, 15757756]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
11,8,"[5, 10, 16, 18, 20, 23]",6,4.263402987271547,0.10539580322802067,36.622874018348135,"[15166982, 15066982, 15766982, 15666982, 15566982, 15466982, 15966982, 15866982, 15366982, 15266982]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
12,8,"[1, 12, 18, 19, 20, 22]",6,4.383776804432273,0.10083922743797302,38.558886155874156,"[15127618, 15027618, 15827618, 15927618, 15427618, 15527618, 15627618, 15727618, 15227618, 15327618]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
13,8,"[1, 5, 6, 11, 17, 18]",6,4.325269777327776,0.1036330796778202,34.2040834176975,"[15190489, 15090489, 15790489, 15690489, 15590489, 15490489, 15390489, 15290489, 15990489, 15890489]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
14,8,"[0, 10, 12, 18, 22]",5,3.5278350096195936,0.08531537652015686,37.197010651417074,"[15101326, 15001326, 15701326, 15601326, 15501326, 15401326, 15301326, 15201326, 15901326, 15801326]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
15,8,"[0, 2, 3, 5, 6, 17, 18, 22]",8,5.730528891086578,0.12742109969258308,35.343401578255,"[15943925, 15843925, 15243925, 15343925, 15643925, 15743925, 15043925, 15143925, 15443925, 15543925]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
16,8,"[1, 6, 7, 11, 14, 16, 24]",7,4.998711202293634,0.11756617575883865,34.667532983635155,"[15953427, 15853427, 15253427, 15353427, 15553427, 15453427, 15753427, 15653427, 15153427, 15053427]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
17,8,"[2, 8, 12, 16, 17, 18, 20]",7,5.025404220446944,0.12100181728601456,36.17441418959892,"[15512155, 15412155, 15912155, 15812155, 15012155, 15112155, 15212155, 15312155, 15612155, 15712155]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
18,8,"[3, 11, 12, 15, 17, 18]",6,4.3861720990389585,0.1043144129216671,36.5188965422567,"[15509521, 15409521, 15909521, 15809521, 15109521, 15009521, 15209521, 15309521, 15709521, 15609521]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
19,8,"[0, 1, 3, 4, 9, 18]",6,4.317364446818829,0.10048073343932629,34.24221448639097,"[15406600, 15506600, 15806600, 15906600, 15006600, 15106600, 15606600, 15706600, 15306600, 15206600]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20,8,"[0, 1, 14, 15, 16, 17, 22]",7,4.816445806995034,0.10744507424533367,36.35002930276096,"[15520017, 15020017, 15220017, 15320017, 15120017, 15620017, 15920017, 15820017, 15420017, 15720017]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
21,8,"[0, 1, 2, 3, 12, 14, 18]",7,4.883457461372018,0.10814759880304337,34.361112610636546,"[15966638, 15866638, 15366638, 15266638, 15166638, 15066638, 15766638, 15666638, 15566638, 15466638]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
22,8,"[0, 3, 5, 6, 12, 16, 18]",7,4.942312574014068,0.11045383661985397,34.79991140888472,"[15196954, 15096954, 15296954, 15396954, 15596954, 15496954, 15796954, 15696954, 15996954, 15896954]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
