query,num_centroids,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
0,4,"[11, 14, 19, 39]",4,1.4513452844694257,0.1085324278101325,13.631909322692081,"[15962719, 15862719, 15762719, 15662719, 15062719, 15162719, 15362719, 15262719, 15462719, 15562719]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
1,4,"[11, 14, 17, 21]",4,1.5159525498747826,0.1100772162899375,13.534188324469142,"[15167819, 15067819, 15867819, 15967819, 15467819, 15567819, 15667819, 15767819, 15267819, 15367819]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
2,4,"[1, 11, 24, 42]",4,1.5676182843744755,0.11210314650088549,14.361167638096958,"[15392873, 15292873, 15892873, 15992873, 15592873, 15492873, 15092873, 15192873, 15792873, 15692873]","[42, 42, 42, 42, 42, 42, 42, 42, 42, 42]"
3,4,"[11, 20, 31, 43]",4,1.5266629625111818,0.10725386161357164,14.269624943728559,"[15497121, 15597121, 15997121, 15897121, 15397121, 15297121, 15797121, 15697121, 15197121, 15097121]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]"
4,4,"[9, 11, 13, 44]",4,1.4708420187234879,0.10087191499769688,13.786243471316993,"[15626518, 15726518, 15126518, 15026518, 15226518, 15326518, 15526518, 15426518, 15926518, 15826518]","[44, 44, 44, 44, 44, 44, 44, 44, 44, 44]"
5,4,"[7, 11, 36, 46]",4,1.6058038165792823,0.11231583263725042,16.18158930214122,"[15195114, 15095114, 15895114, 15995114, 15495114, 15595114, 15395114, 15295114, 15695114, 15795114]","[46, 46, 46, 46, 46, 46, 46, 46, 46, 46]"
6,4,"[17, 22, 39, 43]",4,1.6001342302188277,0.11594849079847336,16.64480862871278,"[15472009, 15572009, 15272009, 15372009, 15672009, 15772009, 15172009, 15072009, 15972009, 15872009]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
7,4,"[5, 11, 35, 37]",4,1.5697122272104025,0.10705980099737644,20.780668052728288,"[15054413, 15154413, 15454413, 15554413, 15954413, 15854413, 15754413, 15654413, 15254413, 15354413]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
8,4,"[0, 8, 14, 27]",4,1.4544542217627168,0.1004490191116929,12.134926854632795,"[15758104, 15658104, 15558104, 15458104, 15058104, 15158104, 15258104, 15358104, 15858104, 15958104]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,4,"[9, 37, 39, 43]",4,1.500495589338243,0.10526672750711441,16.040783949545585,"[15240308, 15340308, 15440308, 15540308, 15140308, 15040308, 15840308, 15940308, 15640308, 15740308]","[37, 37, 37, 37, 37, 37, 37, 37, 37, 37]"
