index_size,nprobe,batch_size,retrieved_docs,avg_query_time
100m,64,1,5,0.011795584678649901
100m,64,2,5,0.012339932441711426
100m,64,4,5,0.012727877378463745
100m,64,8,5,0.012976149082183837
100m,64,16,5,0.015258076906204223
100m,64,32,5,0.02205072855949402
100m,64,64,5,0.03651027297973633
100m,128,1,5,0.012611042737960815
100m,128,2,5,0.01295113468170166
100m,128,4,5,0.013211065769195557
100m,128,8,5,0.015639787673950196
100m,128,16,5,0.02264304494857788
100m,128,32,5,0.03726119947433472
100m,128,64,5,0.06800119805335998
100m,256,1,5,0.013253663063049316
100m,256,2,5,0.013491365432739258
100m,256,4,5,0.015869556427001955
100m,256,8,5,0.023200908422470093
100m,256,16,5,0.038061315536499024
100m,256,32,5,0.06908453917503357
100m,256,64,5,0.13207798171043397
100m,512,1,5,0.013812508821487426
100m,512,2,5,0.01612901782989502
100m,512,4,5,0.023747359752655028
100m,512,8,5,0.03866947340965271
100m,512,16,5,0.06990669941902161
100m,512,32,5,0.1333807792663574
100m,512,64,5,0.2601493570804596
